"ASCII","ASCIIDelete","ASCIIDelete(FileName);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_tifun_asciidelete.html#tm1_ref_tifun_tifun_asciidelete"
"ASCII","ASCIIOutput","ASCIIOutput(FileName, String1, String2, ...Stringn);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_asciioutput.html#tm1_ref_tifun_asciioutput"
"ASCII","SetInputCharacterSet","SetInputCharacterSet (CharacterSet);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_setinputcharacterset.html#tm1_ref_tifun_setinputcharacterset"
"ASCII","SetOutputCharacterSet","SetOutputCharacterSet( FileName, CharacterSet );","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_setoutputcharacterset.html#tm1_ref_tifun_setoutputcharacterset"
"ASCII","SetOutputEscapeDoubleQuote","SetOutputEscapeDoubleQuote(FileName, Num);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_setoutputescapedoublequote.html"
"ASCII","TextOutput","TextOutput(FileName, String1, String2, ...Stringn);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_textoutput.html#tm1_ref_tifun_textoutput"

"ATTRIBUTE","ATTRNL","ATTRNL(DimName, ElName, AttrName, [LangLocaleCode]);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/t_ref_ti_func_attrnl.html"
"ATTRIBUTE","ATTRSL","ATTRSL(DimName, ElName, AttrName, [LangLocaleCode]);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_rule_ti_func_attrsl.html"
"ATTRIBUTE","AttrDelete","AttrDelete(DimName, AttrName);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_attrdelete.html#tm1_ref_tifun_attrdelete"
"ATTRIBUTE","AttrInsert","AttrInsert(DimName, PrevAttr, AttrName, Type);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_attrinsert.html#tm1_ref_tifun_attrinsert"
"ATTRIBUTE","AttrPutN","AttrPutN( Value, DimName, ElName, AttrName, [LangLocaleCode] );","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_attrputn.html#tm1_ref_tifun_attrputn"
"ATTRIBUTE","AttrPutS","AttrPutS(Value, DimName, ElName, AttrName, [LangLocaleCode] );","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_attrputs.html#tm1_ref_tifun_attrputs"

"CHORE","ChoreQuit","ChoreQuit","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_chorequit.html#tm1_ref_tifun_chorequit"
"CHORE","SetChoreVerboseMessages","SetChoreVerboseMessages(Flag)","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_setchoreverbosemessages.html#tm1_ref_tifun_setchoreverbosemessages"

"CUBE","CellGetN","CellGetN(Cube, e1, e2 [,...en]);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_cellgetn.html#tm1_ref_tifun_cellgetn"
"CUBE","CellGetS","CellGetS(Cube, e1, e2 [,...en]);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_cellgets.html#tm1_ref_tifun_cellgets"
"CUBE","CubeCreate","CubeCreate(Cube, d1, d2 [,...dn]);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_cubecreate.html#tm1_ref_tifun_cubecreate"

"DATA RESERVATION","CubeDataReservationAcquire","CubeDataReservationAcquire(Cube, User, bForce, Address, [AddressDelimiter])","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/c_tm1_dev_dr_cubedatareservationacquire.html#TM1_dev_dr_CubeDataReservationAcquire"
"DATA RESERVATION","CubeDataReservationRelease","CubeDataReservationRelease(Cube, User, Address,[AddressDelimiter])","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/c_tm1_dev_dr_cubedatareservationrelease.html#TM1_dev_dr_CubeDataReservationRelease"
"DATA RESERVATION","CubeDataReservationReleaseAll","CubeDataReservationReleaseAll(Cube, UserFilter, Address, [AddressDelimiter])","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/c_tm1_dev_dr_cubedatareservationreleaseall.html#TM1_dev_dr_CubeDataReservationReleaseAll"
"DATA RESERVATION","CubeDataReservationGet","CubeDataReservationGet(Index, Cube, User, [AddressDelimiter])","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/c_tm1_dev_dr_cubedatareservationget.html#TM1_dev_dr_CubeDataReservationGet"
"DATA RESERVATION","CubeDataReservationGetConflicts","CubeDataReservationGetConflicts(Index, Cube, User, Address, [AddressDelimiter])","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/c_tm1_dev_dr_cubedatareservationgetconflicts.html#TM1_dev_dr_CubeDataReservationGetConflicts"

